"sec_nm","stk_cd","stk_nm","10일prc기울기","10일vol기울기","rank"
"","006405",삼성SDI우,3981.000000,4328.500000,1
"","019175",신풍제약우,776.100000,68950.520000,2
"","007575",일양약품우,301.000000,4694.090000,3
IT서비스,"060250",NHN한국사이버결제,286.080000,24132.630000,1
IT서비스,"067010",이씨에스,83.180000,602721.220000,3
가스유틸리티,"003480",한진중공업홀딩스,23.250000,82018.350000,2
건설,"065950",웰크론,301.050000,1934381.920000,1
게임엔터테인먼트,"036570",엔씨소프트,1260.000000,12347.560000,1
게임엔터테인먼트,"067000",조이시티,45.220000,33923.260000,2
게임엔터테인먼트,"035620",바른손이앤에이,35.900000,179192.810000,3
교육,"289010",아이스크림에듀,187.100000,415449.720000,1
교육,"057030",YBM넷,88.400000,1956121.500000,2
교육,"133750",메가엠디,38.450000,1033654.760000,3
금융,"289080",SV인베스트먼트,30.400000,1645337.910000,1
기계와장비,"217820",엔에스,99.000000,26285.960000,2
기계와장비,"137400",피엔티,71.100000,95659.580000,3
기타서비스,"038290",마크로젠,1026.000000,604396.700000,1
기타서비스,"043910",자연과환경,19.080000,501499.310000,2
디스플레이장비및부품,"213420",덕산네오룩스,364.500000,19642.820000,2
디스플레이장비및부품,"033050",제이엠아이,121.800000,586639.520000,3
반도체,"058470",리노공업,1234.000000,9012.020000,1
반도체,"033640",네패스,771.000000,284701.660000,2
반도체,"083550",케이엠,295.680000,335975.400000,3
생물공학,"011000",진원생명과학,336.670000,1864521.270000,1
섬유의류,"004700",조광피혁,150.500000,228.510000,1
섬유의류,"001070",대한방직,53.500000,1080.670000,2
섬유의류,"005320",국동,45.050000,1131985.070000,3
소프트웨어,"051160",지어소프트,116.200000,1569.800000,1
소프트웨어,"070300",엑스큐어,90.900000,29210.360000,2
소프트웨어,"131370",알서포트,52.350000,2037780.960000,3
오락과문화,"018700",바른손,81.300000,162172.400000,1
유통,"031860",엔에스엔,0.050000,56494.110000,1
음식료,"004370",농심,3505.000000,3144.080000,1
음식료,"290720",푸드나무,109.500000,8236.040000,2
음식료,"011150",CJ씨푸드,35.550000,459028.620000,3
의료정밀기기,"253840",수젠텍,757.500000,863026.590000,2
의료정밀기기,"058110",멕아이씨에스,158.450000,53335.170000,3
자동차부품,"118990",모트렉스,82.420000,1195216.860000,3
전자부품제조업,"247540",에코프로비엠,1873.000000,78204.340000,1
전자부품제조업,"006400",삼성SDI,1075.000000,56715.720000,2
전자부품제조업,"026890",디피씨,55.750000,421849.470000,3
전자장비와기기,"084850",아이티엠반도체,82.000000,29292.470000,1
전자장비와기기,"060230",이그잭스,13.800000,35157.460000,2
전자장비와기기,"033200",모아텍,3.050000,446.430000,3
제약바이오,"096530",씨젠,2560.000000,1212806.570000,1
제약바이오,"207940",삼성바이오로직스,2130.000000,17633.110000,2
제약바이오,"091990",셀트리온헬스케어,1211.150000,137210.410000,3
조선,"064820",케이프,106.850000,554358.290000,1
종이와목재,"012690",모나리자,132.900000,696740.590000,1
종이와목재,"017650",대림제지,63.000000,71213.920000,2
종이와목재,"004540",깨끗한나라,59.700000,172911.500000,3
주류제조업,"023150",MH에탄올,263.800000,337673.230000,1
주류제조업,"004650",창해에탄올,112.800000,192800.850000,2
컴퓨터와주변기기,"051380",피씨디렉트,192.700000,97310.790000,1
통신장비,"230240",에치에프알,551.580000,65784.570000,1
통신장비,"073490",이노와이어리스,463.000000,62806.240000,2
통신장비,"218410",RFHIC,292.000000,222569.250000,3
항공사,"180640",한진칼,1554.000000,147332.120000,1
핸드셋,"065680",우주일렉트로,287.300000,17164.880000,1
핸드셋,"037950",엘컴텍,25.550000,1837379.490000,2
핸드셋,"176440",에이치엔티,1.800000,91678.690000,3
화물운송과물류,"002320",한진,461.880000,7620.810000,1
화물운송과물류,"004140",동방,23.650000,652781.640000,2
화학,"051910",LG화학,685.000000,47695.710000,1
화학,"017890",한국알콜,320.200000,998460.130000,2
화학,"023450",동남합성,231.000000,134.850000,3
