"stk_cd","stk_nm","60당기순이익"
"028260",삼성물산,1047890680687.000
"051900",LG생활건강,788173092234.000
"009150",삼성전기,528048551036.000
"006400",삼성SDI,402366429569.000
"035420",NAVER,396821062465.000
"051910",LG화학,376104000000.000
"036570",엔씨소프트,359154722508.000
"097950",CJ제일제당,191028303000.000
"251270",넷마블,169769227460.000
"003670",포스코케미칼,101163401402.000
"097520",엠씨넥스,84507307910.000
"013890",지누스,72426383855.000
"004370",농심,71068947413.000
"002310",아세아제지,61440520886.000
"003230",삼양식품,60028836929.000
"012510",더존비즈온,51025561350.000
"145020",휴젤,50278332948.000
"215200",메가스터디교육,48427353346.000
"095570",AJ네트웍스,42128594358.000
"236200",슈프리마,25942270673.000
"100120",뷰웍스,24320046625.000
"181710",NHN,23173213422.000
"278280",천보,23052430719.000
"089600",나스미디어,22484087777.000
"034120",SBS,20934114760.000
"016710",대성홀딩스,17926750781.000
"017960",한국카본,17701679655.000
"282880",코윈테크,17134445045.000
"093320",케이아이엔엑스,15675410093.000
"067170",오텍,14190983629.000
"073490",이노와이어리스,13146730374.000
"220630",해마로푸드서비스,12925526340.000
"065680",우주일렉트로,11787370553.000
"228670",레이,11555269259.000
"071460",위니아딤채,11060139797.000
"004650",창해에탄올,10765167650.000
"124560",태웅로직스,9561671017.000
"140860",파크시스템스,8506309034.000
"064820",케이프,8238047759.000
"200710",에이디테크놀로지,8004174610.000
"215360",우리산업,7584351299.000
"099320",쎄트렉아이,7360266789.000
"009180",한솔로지스틱스,5908752720.000
"014130",한익스프레스,5785383173.000
"018290",브이티지엠피,3411551246.000
"072470",우리산업홀딩스,3286284853.000
"037760",쎄니트,1919910838.000
"090410",덕신하우징,1486120040.000
"133750",메가엠디,804927767.000
"000440",중앙에너비스,615333077.000
"230240",에치에프알,421672475.000
"052710",아모텍,363384165.000
"002320",한진,-2865354871.000
"311690",천랩,-4345714426.000
"023150",MH에탄올,-7552042785.000
"011000",진원생명과학,-7618562789.000
"065620",제낙스,-10701953773.000
"001070",대한방직,-15955033416.000
"109610",에스와이,-16233649476.000
"006370",대구백화점,-19263522260.000
"012600",센트럴인사이트,-19373388599.000
"065950",웰크론,-23906880563.000
"122870",와이지엔터테인먼트,-24642188675.000
"000080",하이트진로,-42394951310.000
"007860",서연,-95326225697.000
"180640",한진칼,-259177507660.000
"267260",현대일렉트릭,-264300822542.000
"035720",카카오,-341924578348.000
"011200",HMM,-589837000000.000
