"stk_cd","stk_nm","60영업이익"
"051900",LG생활건강,1176411246904.000
"097950",CJ제일제당,896857873000.000
"051910",LG화학,895648000000.000
"028260",삼성물산,866770072122.000
"009150",삼성전기,733968842460.000
"035420",NAVER,710070173513.000
"036570",엔씨소프트,478992418793.000
"006400",삼성SDI,462176462269.000
"008770",호텔신라,295859974844.000
"035720",카카오,206786221786.000
"251270",넷마블,202652419951.000
"097520",엠씨넥스,113067104268.000
"013890",지누스,103868177518.000
"002320",한진,90655085859.000
"003670",포스코케미칼,89854950156.000
"000080",하이트진로,88246563619.000
"181710",NHN,86677182906.000
"004370",농심,78816048821.000
"003230",삼양식품,78285193733.000
"002310",아세아제지,71117330003.000
"145020",휴젤,68086696906.000
"012510",더존비즈온,66796148493.000
"215200",메가스터디교육,59636102296.000
"009240",한샘,55771809993.000
"007860",서연,33214660913.000
"089600",나스미디어,30558603138.000
"067170",오텍,30540632368.000
"278280",천보,27195971237.000
"100120",뷰웍스,26425917873.000
"017960",한국카본,25286667254.000
"236200",슈프리마,24565177573.000
"016710",대성홀딩스,23867646286.000
"282880",코윈테크,20846672212.000
"071460",위니아딤채,20645109379.000
"220630",해마로푸드서비스,18969712512.000
"095570",AJ네트웍스,17844099386.000
"064820",케이프,16569373236.000
"093320",케이아이엔엑스,16467445192.000
"065680",우주일렉트로,15876659308.000
"073490",이노와이어리스,15345479992.000
"124560",태웅로직스,14980613396.000
"228670",레이,12860995989.000
"034120",SBS,12579354049.000
"200710",에이디테크놀로지,12158232842.000
"014130",한익스프레스,11938286154.000
"018290",브이티지엠피,10263494628.000
"009180",한솔로지스틱스,9519510274.000
"099320",쎄트렉아이,9248317039.000
"308100",까스텔바작,9018784627.000
"004650",창해에탄올,8878759515.000
"140860",파크시스템스,8035712410.000
"023150",MH에탄올,7829102971.000
"072470",우리산업홀딩스,7395947153.000
"052710",아모텍,6983006771.000
"037760",쎄니트,5748266774.000
"065950",웰크론,2837367316.000
"090410",덕신하우징,2597101876.000
"230240",에치에프알,2244301723.000
"122870",와이지엔터테인먼트,2024905248.000
"000440",중앙에너비스,638178300.000
"133750",메가엠디,-844577454.000
"180640",한진칼,-3881273804.000
"311690",천랩,-4518862465.000
"012600",센트럴인사이트,-7953239741.000
"011000",진원생명과학,-8208996276.000
"109610",에스와이,-8412198856.000
"065620",제낙스,-8745753418.000
"001070",대한방직,-12979458087.000
"006370",대구백화점,-14239578798.000
"267260",현대일렉트릭,-156694465555.000
"011200",HMM,-299695000000.000
