"stk_cd","stk_nm","영업이익"
"051910",LG화학,895648000000.000
"036570",엔씨소프트,478992418793.000
"006400",삼성SDI,462176462269.000
"002320",한진,90655085859.000
"091990",셀트리온헬스케어,82793144838.000
"004370",농심,78816048821.000
"033640",네패스,59975295606.000
"084850",아이티엠반도체,53501442683.000
"003480",한진중공업홀딩스,38422000000.000
"017890",한국알콜,33099997967.000
"060250",NHN한국사이버결제,32092925575.000
"096530",씨젠,22423158244.000
"004140",동방,20944994874.000
"218410",RFHIC,17936449298.000
"064820",케이프,16569373236.000
"065680",우주일렉트로,15876659308.000
"073490",이노와이어리스,15345479992.000
"026890",디피씨,14030028313.000
"004650",창해에탄올,8878759515.000
"067000",조이시티,8547462443.000
"023150",MH에탄올,7829102971.000
"083550",케이엠,7176115501.000
"131370",알서포트,5801169422.000
"217820",엔에스,5558548467.000
"290720",푸드나무,5467594597.000
"004540",깨끗한나라,5148279067.000
"037950",엘컴텍,3498466209.000
"065950",웰크론,2837367316.000
"057030",YBM넷,2627667962.000
"060230",이그잭스,2532979759.000
"230240",에치에프알,2244301723.000
"176440",에이치엔티,1995287086.000
"137400",피엔티,1477775102.000
"043910",자연과환경,813589628.000
"038290",마크로젠,719925376.000
"051160",지어소프트,-129606437.000
"058110",멕아이씨에스,-211336126.000
"133750",메가엠디,-844577454.000
"118990",모트렉스,-2648875373.000
"180640",한진칼,-3881273804.000
"005320",국동,-4238395476.000
"033050",제이엠아이,-4897973215.000
"253840",수젠텍,-7069010490.000
"031860",엔에스엔,-7886863948.000
"011000",진원생명과학,-8208996276.000
"001070",대한방직,-12979458087.000
"035620",바른손이앤에이,-17734440678.000
